dept_code;dept_name;muni_code;muni_name;muni_name;poblacion_2025;CEN/POP;VOTE DIF;AVEWIN;LANDSLIDE;area_km2;Pop/km2;mesas_total;censo_mujeres;censo_hombres;puestos;Personas/puesto;mesas_censo;mesas_escrutadas;Personas/mesa;DIF-MESAS;Elect/poblacion;censo_electoral;votantes;% votantes;votos_validos;votos_nulos;votos_blancos;cepeda;espriella;% blanco;% nulos;%cepeda;%espriella;SUM;DIF
7;BOYACA;205;PISBA;PISBA;1.828;68,44 %;508;TRUE;TRUE;469;4;4;566;685;1;1.251;4;4;313;0;68,44 %;1.251;843;67,39 %;837;2;11;159;667;1,30 %;0,24 %;18,86 %;79,12 %;99,53 %;-4
46;CASANARE;760;RECETOR;RECETOR;1.835;66,27 %;416;TRUE;TRUE;173;11;5;559;657;3;405;5;5;243;0;66,27 %;1.216;929;76,40 %;923;5;11;248;664;1,18 %;0,54 %;26,70 %;71,47 %;99,89 %;-1
7;BOYACA;7;ALMEIDA;ALMEIDA;1.843;107,22 %;503;TRUE;FALSE;57;32;6;912;1.064;1;1.976;6;6;329;0;107,22 %;1.976;1.172;59,31 %;1.153;16;20;315;818;1,71 %;1,37 %;26,88 %;69,80 %;99,74 %;-3
7;BOYACA;61;CUITIVA;CUITIVA;1.846;100,65 %;513;TRUE;FALSE;43;43;6;913;945;2;929;6;6;310;0;100,65 %;1.858;1.239;66,68 %;1.230;6;9;354;867;0,73 %;0,48 %;28,57 %;69,98 %;99,76 %;-3
7;BOYACA;103;GUACAMAYAS;GUACAMAYAS;1.870;83,05 %;555;TRUE;TRUE;59;32;5;794;759;1;1.553;5;5;311;0;83,05 %;1.553;997;64,20 %;982;14;11;208;763;1,10 %;1,40 %;20,86 %;76,53 %;99,90 %;-1
27;SANTANDER;4;AGUADA;AGUADA;1.916;79,49 %;714;TRUE;TRUE;75;26;5;689;834;1;1.523;5;5;305;0;79,49 %;1.523;1.019;66,91 %;1.013;4;11;144;858;1,08 %;0,39 %;14,13 %;84,20 %;99,80 %;-2
60;AMAZONAS;19;MIRITI PARANA;MIRITI PARANA;1.929;29,03 %;-160;FALSE;FALSE;16.864;0;3;237;323;2;280;3;3;187;0;29,03 %;560;167;29,82 %;167;0;1;163;3;0,60 %;0,00 %;97,60 %;1,80 %;100,00 %;0
7;BOYACA;19;BETEITIVA;BETEITIVA;1.973;102,08 %;425;TRUE;FALSE;123;16;7;1.020;994;2;1.007;7;7;288;0;102,08 %;2.014;1.382;68,62 %;1.373;7;16;466;891;1,16 %;0,51 %;33,72 %;64,47 %;99,86 %;-2
50;GUAINIA;90;PUERTO COLOMBIA;PUERTO COLOMBIA;2.005;63,54 %;78;TRUE;FALSE;15.664;0;5;591;683;3;425;5;5;255;0;63,54 %;1.274;341;26,77 %;338;2;0;130;208;0,00 %;0,59 %;38,12 %;61,00 %;99,71 %;-1
15;CUNDINAMARCA;323;VILLAGOMEZ;VILLAGOMEZ;2.014;105,81 %;638;TRUE;TRUE;65;31;7;1.011;1.120;2;1.066;7;7;304;0;105,81 %;2.131;1.392;65,32 %;1.381;10;15;364;1.002;1,08 %;0,72 %;26,15 %;71,98 %;99,93 %;-1
50;GUAINIA;87;PANA PANA (CAMPO ALEGRE);PANA PANA (CAMPO ALEGRE);2.032;30,71 %;-56;FALSE;FALSE;10.097;0;4;288;336;3;208;4;4;156;0;30,71 %;624;278;44,55 %;276;1;4;164;108;1,44 %;0,36 %;58,99 %;38,85 %;99,64 %;-1
7;BOYACA;118;IZA;IZA;2.035;111,79 %;507;TRUE;FALSE;54;38;7;1.152;1.123;1;2.275;7;7;325;0;111,79 %;2.275;1.616;71,03 %;1.600;15;25;534;1.041;1,55 %;0,93 %;33,04 %;64,42 %;99,94 %;-1
