dept_code;dept_name;muni_code;muni_name;muni_name;poblacion_2025;CEN/POP;VOTE DIF;AVEWIN;LANDSLIDE;area_km2;Pop/km2;mesas_total;censo_mujeres;censo_hombres;puestos;Personas/puesto;mesas_censo;mesas_escrutadas;Personas/mesa;DIF-MESAS;Elect/poblacion;censo_electoral;votantes;% votantes;votos_validos;votos_nulos;votos_blancos;cepeda;espriella;% blanco;% nulos;%cepeda;%espriella;SUM;DIF
15;CUNDINAMARCA;196;PANDI;PANDI;5.883;75,11 %;629;TRUE;FALSE;67;88;13;2.056;2.363;1;4.419;13;13;340;0;75,11 %;4.419;2.882;65,22 %;2.859;15;22;1.104;1.733;0,76 %;0,52 %;38,31 %;60,13 %;99,72 %;-8
17;CHOCO;14;CERTEGUI;CERTEGUI;5.897;86,82 %;-1.753;FALSE;FALSE;342;17;18;2.782;2.338;5;1.024;18;18;284;0;86,82 %;5.120;3.004;58,67 %;2.973;24;20;2.353;600;0,67 %;0,80 %;78,33 %;19,97 %;99,77 %;-7
7;BOYACA;298;TASCO;TASCO;5.906;83,54 %;1.204;TRUE;FALSE;167;35;14;2.412;2.522;1;4.934;14;14;352;0;83,54 %;4.934;3.311;67,11 %;3.285;25;35;1.023;2.227;1,06 %;0,76 %;30,90 %;67,26 %;99,97 %;-1
27;SANTANDER;46;CONCEPCION;CONCEPCION;5.907;89,03 %;2.105;TRUE;TRUE;686;9;19;2.531;2.728;7;751;19;19;277;0;89,03 %;5.259;3.456;65,72 %;3.428;22;51;636;2.741;1,48 %;0,64 %;18,40 %;79,31 %;99,83 %;-6
25;NORTE DE SAN;67;PAMPLONITA;PAMPLONITA;5.930;76,51 %;2.614;TRUE;TRUE;176;34;13;2.145;2.392;2;2.269;13;13;349;0;76,51 %;4.537;3.501;77,17 %;3.466;29;60;396;3.010;1,71 %;0,83 %;11,31 %;85,98 %;99,83 %;-6
27;SANTANDER;142;OCAMONTE;OCAMONTE;5.961;68,28 %;2.202;TRUE;TRUE;84;71;12;1.913;2.157;1;4.070;12;12;339;0;68,28 %;4.070;2.914;71,60 %;2.905;5;27;338;2.540;0,93 %;0,17 %;11,60 %;87,17 %;99,86 %;-4
26;QUINDIO;25;CORDOBA;CORDOBA;5.967;93,78 %;324;TRUE;FALSE;98;61;16;2.652;2.944;1;5.596;16;16;350;0;93,78 %;5.596;3.200;57,18 %;3.153;43;51;1.389;1.713;1,59 %;1,34 %;43,41 %;53,53 %;99,88 %;-4
7;BOYACA;76;CHITARAQUE;CHITARAQUE;5.981;96,91 %;2.409;TRUE;TRUE;157;38;18;2.638;3.158;3;1.932;18;18;322;0;96,91 %;5.796;3.531;60,92 %;3.513;12;12;546;2.955;0,34 %;0,34 %;15,46 %;83,69 %;99,83 %;-6
1;ANTIOQUIA;130;GIRALDO;GIRALDO;6.022;86,72 %;566;TRUE;FALSE;96;63;17;2.533;2.689;3;1.741;17;17;307;0;86,72 %;5.222;3.329;63,75 %;3.308;19;70;1.336;1.902;2,10 %;0,57 %;40,13 %;57,13 %;99,94 %;-2
9;CALDAS;52;LA MERCED;LA MERCED;6.043;93,45 %;1.231;TRUE;FALSE;364;17;19;2.682;2.965;7;807;19;19;297;0;93,45 %;5.647;3.156;55,89 %;3.092;45;69;896;2.127;2,19 %;1,43 %;28,39 %;67,40 %;99,40 %;-19
27;SANTANDER;94;GUACA;GUACA;6.063;92,92 %;2.665;TRUE;TRUE;382;16;22;2.579;3.055;13;433;22;22;256;0;92,92 %;5.634;3.694;65,57 %;3.667;22;38;482;3.147;1,03 %;0,60 %;13,05 %;85,19 %;99,86 %;-5
7;BOYACA;10;ARCABUCO;ARCABUCO;6.097;84,71 %;1.129;TRUE;FALSE;155;39;15;2.513;2.652;1;5.165;15;15;344;0;84,71 %;5.165;3.748;72,57 %;3.707;35;60;1.259;2.388;1,60 %;0,93 %;33,59 %;63,71 %;99,84 %;-6
15;CUNDINAMARCA;262;SUPATA;SUPATA;6.113;77,02 %;1.902;TRUE;TRUE;128;48;14;2.247;2.461;1;4.708;14;14;336;0;77,02 %;4.708;3.284;69,75 %;3.257;17;43;656;2.558;1,31 %;0,52 %;19,98 %;77,89 %;99,70 %;-10
1;ANTIOQUIA;22;ANGELOPOLIS;ANGELOPOLIS;6.117;97,86 %;1.530;TRUE;TRUE;87;70;19;2.859;3.127;3;1.995;19;19;315;0;97,86 %;5.986;3.318;55,43 %;3.264;48;64;835;2.365;1,93 %;1,45 %;25,17 %;71,28 %;99,82 %;-6
1;ANTIOQUIA;227;SAN FRANCISCO;SAN FRANCISCO;6.169;106,99 %;1.970;TRUE;TRUE;480;13;19;3.124;3.476;2;3.300;19;19;347;0;106,99 %;6.600;3.202;48,52 %;3.177;14;25;591;2.561;0,78 %;0,44 %;18,46 %;79,98 %;99,66 %;-11
7;BOYACA;282;SORACA;SORACA;6.188;103,68 %;1.250;TRUE;FALSE;57;109;19;3.101;3.315;1;6.416;19;19;338;0;103,68 %;6.416;4.644;72,38 %;4.586;49;50;1.643;2.893;1,08 %;1,06 %;35,38 %;62,30 %;99,81 %;-9
27;SANTANDER;22;BETULIA;BETULIA;6.219;72,01 %;1.630;TRUE;TRUE;324;19;16;2.037;2.441;5;896;16;16;280;0;72,01 %;4.478;3.001;67,02 %;2.971;25;49;646;2.276;1,63 %;0,83 %;21,53 %;75,84 %;99,83 %;-5
7;BOYACA;325;TURMEQUE;TURMEQUE;6.277;91,06 %;1.457;TRUE;FALSE;106;59;17;2.786;2.930;1;5.716;17;17;336;0;91,06 %;5.716;3.987;69,75 %;3.941;40;86;1.199;2.656;2,16 %;1,00 %;30,07 %;66,62 %;99,85 %;-6
9;CALDAS;78;NORCASIA;NORCASIA;6.295;106,69 %;890;TRUE;FALSE;223;28;21;3.152;3.564;4;1.679;21;21;320;0;106,69 %;6.716;3.487;51,92 %;3.415;67;81;1.222;2.112;2,32 %;1,92 %;35,04 %;60,57 %;99,86 %;-5
23;NARIÑO;17;BELEN;BELEN;6.314;84,62 %;-1.231;FALSE;FALSE;48;132;16;2.669;2.674;3;1.781;16;16;334;0;84,62 %;5.343;3.709;69,42 %;3.646;57;79;2.399;1.168;2,13 %;1,54 %;64,68 %;31,49 %;99,84 %;-6
52;META;8;CABUYARO;CABUYARO;6.338;101,80 %;1.717;TRUE;FALSE;884;7;20;2.859;3.593;4;1.613;20;20;323;0;101,80 %;6.452;4.572;70,86 %;4.506;58;67;1.361;3.078;1,47 %;1,27 %;29,77 %;67,32 %;99,83 %;-8
27;SANTANDER;119;LA BELLEZA;LA BELLEZA;6.339;90,77 %;2.661;TRUE;TRUE;219;29;18;2.659;3.095;4;1.439;18;18;320;0;90,77 %;5.754;3.736;64,93 %;3.726;8;41;512;3.173;1,10 %;0,21 %;13,70 %;84,93 %;99,95 %;-2
29;TOLIMA;28;CASABIANCA;CASABIANCA;6.344;90,45 %;1.764;TRUE;TRUE;264;24;18;2.565;3.173;3;1.913;18;18;319;0;90,45 %;5.738;3.399;59,24 %;3.349;34;65;760;2.524;1,91 %;1,00 %;22,36 %;74,26 %;99,53 %;-16
7;BOYACA;289;SUTAMARCHAN;SUTAMARCHAN;6.352;98,55 %;2.060;TRUE;TRUE;102;62;18;3.102;3.158;1;6.260;18;18;348;0;98,55 %;6.260;4.684;74,82 %;4.647;31;75;1.256;3.316;1,60 %;0,66 %;26,81 %;70,79 %;99,87 %;-6
17;CHOCO;2;ATRATO (YUTO);ATRATO (YUTO);6.356;134,30 %;-3.253;FALSE;FALSE;725;9;28;4.574;3.962;10;854;28;28;305;0;134,30 %;8.536;4.702;55,08 %;4.648;51;29;3.936;683;0,62 %;1,08 %;83,71 %;14,53 %;99,94 %;-3
1;ANTIOQUIA;46;BELMIRA;BELMIRA;6.405;84,61 %;1.993;TRUE;TRUE;279;23;19;2.645;2.774;5;1.084;19;19;285;0;84,61 %;5.419;3.144;58,02 %;3.092;39;67;516;2.509;2,13 %;1,24 %;16,41 %;79,80 %;99,59 %;-13
17;CHOCO;17;EL CANTON DEL SAN PABLO (MAN.;EL CANTON DEL SAN PABLO (MAN.;6.435;94,31 %;-1.813;FALSE;FALSE;386;17;19;3.126;2.943;6;1.012;19;19;319;0;94,31 %;6.069;3.106;51,18 %;3.078;26;21;2.435;622;0,68 %;0,84 %;78,40 %;20,03 %;99,94 %;-2
56;SAN ANDRES;4;PROVIDENCIA;PROVIDENCIA;6.454;75,10 %;-380;FALSE;FALSE;44;147;14;2.493;2.354;1;4.847;14;14;346;0;75,10 %;4.847;1.849;38,15 %;1.843;5;47;1.088;708;2,54 %;0,27 %;58,84 %;38,29 %;99,95 %;-1
24;RISARALDA;13;BALBOA;BALBOA;6.473;90,99 %;750;TRUE;FALSE;119;54;19;2.704;3.186;6;982;19;19;310;0;90,99 %;5.890;3.362;57,08 %;3.292;59;58;1.242;1.992;1,73 %;1,75 %;36,94 %;59,25 %;99,67 %;-11
23;NARIÑO;77;LA LLANADA;LA LLANADA;6.483;63,30 %;-639;FALSE;FALSE;265;24;13;2.031;2.073;3;1.368;13;13;316;0;63,30 %;4.104;3.095;75,41 %;3.031;59;72;1.799;1.160;2,33 %;1,91 %;58,13 %;37,48 %;99,84 %;-5
25;NORTE DE SAN;70;RAGONVALIA;RAGONVALIA;6.489;154,75 %;2.754;TRUE;TRUE;95;68;30;4.955;5.087;4;2.511;30;30;335;0;154,75 %;10.042;3.233;32,19 %;3.214;16;26;217;2.971;0,80 %;0,49 %;6,71 %;91,90 %;99,91 %;-3
27;SANTANDER;217;VALLE DE SAN JOSE;VALLE DE SAN JOSE;6.501;82,28 %;2.402;TRUE;TRUE;99;66;17;2.609;2.740;4;1.337;17;17;315;0;82,28 %;5.349;4.199;78,50 %;4.179;16;49;864;3.266;1,17 %;0,38 %;20,58 %;77,78 %;99,90 %;-4
1;ANTIOQUIA;271;TARSO;TARSO;6.526;92,98 %;1.202;TRUE;FALSE;119;55;18;2.972;3.096;1;6.068;18;18;337;0;92,98 %;6.068;3.301;54,40 %;3.273;19;51;1.010;2.212;1,54 %;0,58 %;30,60 %;67,01 %;99,73 %;-9
44;CAQUETA;24;SOLITA;SOLITA;6.551;94,26 %;140;TRUE;FALSE;611;11;18;2.964;3.211;2;3.088;18;18;343;0;94,26 %;6.175;3.246;52,57 %;3.163;65;93;1.465;1.605;2,87 %;2,00 %;45,13 %;49,45 %;99,45 %;-18
29;TOLIMA;10;AMBALEMA;AMBALEMA;6.610;99,79 %;-4;FALSE;FALSE;239;28;22;3.162;3.434;6;1.099;22;22;300;0;99,79 %;6.596;3.903;59,17 %;3.880;18;22;1.931;1.927;0,56 %;0,46 %;49,47 %;49,37 %;99,87 %;-5
31;VALLE;46;EL CAIRO;EL CAIRO;6.635;97,48 %;1.182;TRUE;FALSE;283;23;24;2.811;3.657;11;588;24;24;270;0;97,48 %;6.468;3.204;49,54 %;3.149;41;59;954;2.136;1,84 %;1,28 %;29,78 %;66,67 %;99,56 %;-14
15;CUNDINAMARCA;85;FOSCA;FOSCA;6.659;83,33 %;2.741;TRUE;TRUE;126;53;17;2.578;2.971;3;1.850;17;17;326;0;83,33 %;5.549;3.983;71,78 %;3.974;8;43;595;3.336;1,08 %;0,20 %;14,94 %;83,76 %;99,97 %;-1
15;CUNDINAMARCA;136;JUNIN;JUNIN;6.699;80,70 %;1.716;TRUE;TRUE;337;20;17;2.701;2.705;4;1.352;17;17;318;0;80,70 %;5.406;3.697;68,39 %;3.654;34;48;945;2.661;1,30 %;0,92 %;25,56 %;71,98 %;99,76 %;-9
25;NORTE DE SAN;88;SILOS;SILOS;6.701;71,23 %;3.026;TRUE;TRUE;381;18;16;2.261;2.512;5;955;16;16;298;0;71,23 %;4.773;3.377;70,75 %;3.365;7;31;154;3.180;0,92 %;0,21 %;4,56 %;94,17 %;99,85 %;-5
46;CASANARE;840;TAMARA;TAMARA;6.708;68,75 %;1.919;TRUE;TRUE;1.181;6;18;2.123;2.489;8;577;18;18;256;0;68,75 %;4.612;3.113;67,50 %;3.089;14;40;565;2.484;1,28 %;0,45 %;18,15 %;79,79 %;99,68 %;-10
15;CUNDINAMARCA;148;LA PEÑA;LA PEÑA;6.722;90,06 %;2.870;TRUE;TRUE;136;49;19;2.623;3.431;3;2.018;19;19;319;0;90,06 %;6.054;4.187;69,16 %;4.159;16;37;626;3.496;0,88 %;0,38 %;14,95 %;83,50 %;99,71 %;-12
25;NORTE DE SAN;49;LABATECA;LABATECA;6.729;83,10 %;2.737;TRUE;TRUE;253;27;17;2.634;2.958;3;1.864;17;17;329;0;83,10 %;5.592;3.519;62,93 %;3.503;12;24;371;3.108;0,68 %;0,34 %;10,54 %;88,32 %;99,89 %;-4
19;HUILA;50;NATAGA;NATAGA;6.730;80,36 %;716;TRUE;FALSE;133;51;16;2.568;2.840;2;2.704;16;16;338;0;80,36 %;5.408;3.357;62,07 %;3.311;36;51;1.272;1.988;1,52 %;1,07 %;37,89 %;59,22 %;99,70 %;-10
52;META;6;BARRANCA DE UPIA;BARRANCA DE UPIA;6.733;87,41 %;662;TRUE;FALSE;315;21;19;2.783;3.102;4;1.471;19;19;310;0;87,41 %;5.885;3.934;66,85 %;3.842;86;54;1.563;2.225;1,37 %;2,19 %;39,73 %;56,56 %;99,85 %;-6
25;NORTE DE SAN;13;BUCARASICA;BUCARASICA;6.770;67,25 %;2.554;TRUE;TRUE;267;25;15;1.995;2.558;5;911;15;15;304;0;67,25 %;4.553;2.992;65,71 %;2.968;20;24;195;2.749;0,80 %;0,67 %;6,52 %;91,88 %;99,87 %;-4
1;ANTIOQUIA;289;VALPARAISO;VALPARAISO;6.778;83,76 %;1.175;TRUE;FALSE;1.218;6;17;2.747;2.930;2;2.839;17;17;334;0;83,76 %;5.677;3.470;61,12 %;3.429;32;58;1.098;2.273;1,67 %;0,92 %;31,64 %;65,50 %;99,74 %;-9
29;TOLIMA;88;PIEDRAS;PIEDRAS;6.812;83,41 %;11;TRUE;FALSE;361;19;18;2.759;2.923;4;1.421;18;18;316;0;83,41 %;5.682;3.608;63,50 %;3.572;29;47;1.757;1.768;1,30 %;0,80 %;48,70 %;49,00 %;99,81 %;-7
23;NARIÑO;123;SAN PEDRO DE CARTAGO;SAN PEDRO DE CARTAGO;6.834;86,87 %;324;TRUE;FALSE;60;114;19;2.909;3.028;4;1.484;19;19;312;0;86,87 %;5.937;4.101;69,08 %;4.026;62;80;1.811;2.135;1,95 %;1,51 %;44,16 %;52,06 %;99,68 %;-13
7;BOYACA;249;SAN PABLO DE BORBUR;SAN PABLO DE BORBUR;6.848;88,55 %;2.645;TRUE;TRUE;193;35;20;2.569;3.495;6;1.011;20;20;303;0;88,55 %;6.064;3.928;64,78 %;3.907;21;38;612;3.257;0,97 %;0,53 %;15,58 %;82,92 %;100,00 %;0
7;BOYACA;202;PESCA;PESCA;6.863;93,49 %;2.263;TRUE;TRUE;282;24;20;3.120;3.296;3;2.139;20;20;321;0;93,49 %;6.416;4.244;66,15 %;4.213;21;46;952;3.215;1,08 %;0,49 %;22,43 %;75,75 %;99,76 %;-10
19;HUILA;52;PAICOL;PAICOL;6.884;79,60 %;2.417;TRUE;TRUE;298;23;17;2.658;2.822;2;2.740;17;17;322;0;79,60 %;5.480;3.866;70,55 %;3.845;18;44;692;3.109;1,14 %;0,47 %;17,90 %;80,42 %;99,92 %;-3
7;BOYACA;265;SIACHOQUE;SIACHOQUE;6.908;91,17 %;1.958;TRUE;TRUE;125;55;18;3.009;3.289;2;3.149;18;18;350;0;91,17 %;6.298;4.409;70,01 %;4.353;44;53;1.171;3.129;1,20 %;1,00 %;26,56 %;70,97 %;99,73 %;-12
15;CUNDINAMARCA;157;MACHETA;MACHETA;6.924;95,47 %;2.970;TRUE;TRUE;225;31;19;3.080;3.530;1;6.610;19;19;348;0;95,47 %;6.610;4.802;72,65 %;4.772;22;64;869;3.839;1,33 %;0,46 %;18,10 %;79,95 %;99,83 %;-8
7;BOYACA;88;FIRAVITOBA;FIRAVITOBA;6.931;87,06 %;211;TRUE;FALSE;109;64;19;2.806;3.228;3;2.011;19;19;318;0;87,06 %;6.034;4.042;66,99 %;3.994;46;63;1.860;2.071;1,56 %;1,14 %;46,02 %;51,24 %;99,95 %;-2
1;ANTIOQUIA;181;MONTEBELLO;MONTEBELLO;6.955;93,93 %;1.928;TRUE;TRUE;86;81;20;2.991;3.542;3;2.178;20;20;327;0;93,93 %;6.533;3.785;57,94 %;3.713;44;77;854;2.782;2,03 %;1,16 %;22,56 %;73,50 %;99,26 %;-28
1;ANTIOQUIA;140;GUADALUPE;GUADALUPE;6.980;84,04 %;-121;FALSE;FALSE;382;18;19;2.825;3.041;4;1.467;19;19;309;0;84,04 %;5.866;3.749;63,91 %;3.633;77;146;1.804;1.683;3,89 %;2,05 %;48,12 %;44,89 %;98,96 %;-39
17;CHOCO;22;JURADO;JURADO;7.004;55,65 %;-1.326;FALSE;FALSE;992;7;13;1.777;2.121;3;1.299;13;13;300;0;55,65 %;3.898;1.722;44,18 %;1.713;5;11;1.514;188;0,64 %;0,29 %;87,92 %;10,92 %;99,77 %;-4
23;NARIÑO;97;OSPINA;OSPINA;7.007;86,24 %;-1.075;FALSE;FALSE;66;106;19;3.047;2.996;6;1.007;19;19;318;0;86,24 %;6.043;4.148;68,64 %;4.103;36;64;2.557;1.482;1,54 %;0,87 %;61,64 %;35,73 %;99,78 %;-9
23;NARIÑO;58;GUALMATAN;GUALMATAN;7.054;77,33 %;-1.576;FALSE;FALSE;35;202;16;2.835;2.620;2;2.728;16;16;341;0;77,33 %;5.455;4.015;73,60 %;3.984;29;66;2.747;1.171;1,64 %;0,72 %;68,42 %;29,17 %;99,95 %;-2
31;VALLE;112;VERSALLES;VERSALLES;7.088;104,67 %;1.957;TRUE;TRUE;352;20;32;3.562;3.857;16;464;32;32;232;0;104,67 %;7.419;4.158;56,05 %;4.102;51;71;1.037;2.994;1,71 %;1,23 %;24,94 %;72,01 %;99,88 %;-5
15;CUNDINAMARCA;268;SUTATAUSA;SUTATAUSA;7.104;61,59 %;1.299;TRUE;FALSE;67;106;13;2.159;2.216;2;2.188;13;13;337;0;61,59 %;4.375;3.292;75,25 %;3.249;39;70;940;2.239;2,13 %;1,18 %;28,55 %;68,01 %;99,88 %;-4
27;SANTANDER;43;CERRITO;CERRITO;7.114;78,79 %;2.419;TRUE;TRUE;549;13;19;2.581;3.024;4;1.401;19;19;295;0;78,79 %;5.605;3.757;67,03 %;3.712;37;49;622;3.041;1,30 %;0,98 %;16,56 %;80,94 %;99,79 %;-8
17;CHOCO;60;UNION PANAMERICANA (LAS ANIMAS;UNION PANAMERICANA (LAS ANIMAS;7.148;85,38 %;-1.725;FALSE;FALSE;1.600;4;22;3.129;2.974;7;872;22;22;277;0;85,38 %;6.103;3.118;51,09 %;3.055;58;24;2.378;653;0,77 %;1,86 %;76,27 %;20,94 %;99,84 %;-5
23;NARIÑO;49;FUNES;FUNES;7.150;83,73 %;-1.218;FALSE;FALSE;407;18;20;2.983;3.004;8;748;20;20;299;0;83,73 %;5.987;4.271;71,34 %;4.250;16;20;2.724;1.506;0,47 %;0,37 %;63,78 %;35,26 %;99,88 %;-5
15;CUNDINAMARCA;214;QUIPILE;QUIPILE;7.209;86,29 %;2.460;TRUE;TRUE;128;56;20;2.724;3.497;5;1.244;20;20;311;0;86,29 %;6.221;4.077;65,54 %;4.039;21;39;770;3.230;0,96 %;0,52 %;18,89 %;79,22 %;99,58 %;-17
1;ANTIOQUIA;282;URAMITA;URAMITA;7.225;93,66 %;1.596;TRUE;TRUE;236;31;21;3.147;3.620;3;2.256;21;21;322;0;93,66 %;6.767;3.514;51,93 %;3.473;35;51;913;2.509;1,45 %;1,00 %;25,98 %;71,40 %;99,83 %;-6
19;HUILA;28;COLOMBIA;COLOMBIA;7.233;94,87 %;2.483;TRUE;TRUE;1.698;4;22;3.041;3.821;8;858;22;22;312;0;94,87 %;6.862;4.291;62,53 %;4.268;17;43;871;3.354;1,00 %;0,40 %;20,30 %;78,16 %;99,86 %;-6
52;META;15;CUBARRAL;CUBARRAL;7.235;80,97 %;2.148;TRUE;TRUE;1.308;6;17;2.905;2.953;1;5.858;17;17;345;0;80,97 %;5.858;4.121;70,35 %;4.095;22;51;948;3.096;1,24 %;0,53 %;23,00 %;75,13 %;99,90 %;-4
15;CUNDINAMARCA;184;NOCAIMA;NOCAIMA;7.237;75,07 %;1.186;TRUE;FALSE;69;105;16;2.597;2.836;1;5.433;16;16;340;0;75,07 %;5.433;3.870;71,23 %;3.843;24;45;1.306;2.492;1,16 %;0,62 %;33,75 %;64,39 %;99,92 %;-3
23;NARIÑO;130;SAPUYES;SAPUYES;7.247;81,99 %;-1.717;FALSE;FALSE;133;54;19;3.101;2.841;7;849;19;19;313;0;81,99 %;5.942;4.375;73,63 %;4.336;36;37;3.008;1.291;0,85 %;0,82 %;68,75 %;29,51 %;99,93 %;-3
27;SANTANDER;205;SUCRE;SUCRE;7.248;76,66 %;2.246;TRUE;TRUE;1.110;7;22;2.621;2.935;12;463;22;22;253;0;76,66 %;5.556;3.417;61,50 %;3.399;15;33;560;2.806;0,97 %;0,44 %;16,39 %;82,12 %;99,91 %;-3
23;NARIÑO;28;CONTADERO;CONTADERO;7.251;88,97 %;-1.514;FALSE;FALSE;45;161;21;3.263;3.188;6;1.075;21;21;307;0;88,97 %;6.451;4.552;70,56 %;4.531;18;35;3.005;1.491;0,77 %;0,40 %;66,01 %;32,75 %;99,93 %;-3
29;TOLIMA;61;HERVEO;HERVEO;7.266;78,72 %;1.775;TRUE;TRUE;342;21;20;2.630;3.090;7;817;20;20;286;0;78,72 %;5.720;3.413;59,67 %;3.377;32;34;784;2.559;1,00 %;0,94 %;22,97 %;74,98 %;99,88 %;-4
44;CAQUETA;40;VALPARAISO;VALPARAISO;7.277;77,92 %;1.098;TRUE;FALSE;1.218;6;18;2.591;3.079;4;1.418;18;18;315;0;77,92 %;5.670;2.977;52,50 %;2.911;60;63;875;1.973;2,12 %;2,02 %;29,39 %;66,27 %;99,80 %;-6
52;META;46;MAPIRIPAN;MAPIRIPAN;7.325;84,30 %;-95;FALSE;FALSE;11.400;1;22;2.361;3.814;8;772;22;22;281;0;84,30 %;6.175;3.079;49,86 %;3.016;50;41;1.535;1.440;1,33 %;1,62 %;49,85 %;46,77 %;99,58 %;-13
7;BOYACA;271;SOCOTA;SOCOTA;7.353;79,15 %;2.109;TRUE;TRUE;600;12;20;2.587;3.233;7;831;20;20;291;0;79,15 %;5.820;3.641;62,56 %;3.597;36;32;728;2.837;0,88 %;0,99 %;19,99 %;77,92 %;99,78 %;-8
7;BOYACA;190;PAUNA;PAUNA;7.354;93,46 %;2.279;TRUE;TRUE;259;28;22;3.125;3.748;3;2.291;22;22;312;0;93,46 %;6.873;4.441;64,62 %;4.397;29;28;1.045;3.324;0,63 %;0,65 %;23,53 %;74,85 %;99,66 %;-15
23;NARIÑO;7;ALDANA;ALDANA;7.376;85,67 %;-2.191;FALSE;FALSE;65;113;20;3.350;2.969;3;2.106;20;20;316;0;85,67 %;6.319;4.874;77,13 %;4.825;43;26;3.495;1.304;0,53 %;0,88 %;71,71 %;26,75 %;99,88 %;-6
3;ATLANTICO;31;PIOJO;PIOJO;7.384;79,98 %;-174;FALSE;FALSE;258;29;19;2.784;3.122;4;1.477;19;19;311;0;79,98 %;5.906;3.624;61,36 %;3.614;6;22;1.883;1.709;0,61 %;0,17 %;51,96 %;47,16 %;99,89 %;-4
19;HUILA;91;VILLAVIEJA;VILLAVIEJA;7.413;92,14 %;360;TRUE;FALSE;670;11;22;3.291;3.539;5;1.366;22;22;310;0;92,14 %;6.830;4.514;66,09 %;4.472;33;44;2.034;2.394;0,97 %;0,73 %;45,06 %;53,04 %;99,80 %;-9
15;CUNDINAMARCA;128;GUAYABETAL;GUAYABETAL;7.438;62,49 %;1.635;TRUE;TRUE;142;52;14;2.207;2.441;2;2.324;14;14;332;0;62,49 %;4.648;3.400;73,15 %;3.374;20;23;858;2.493;0,68 %;0,59 %;25,24 %;73,32 %;99,82 %;-6
29;TOLIMA;49;FALAN;FALAN;7.441;84,81 %;834;TRUE;FALSE;238;31;20;2.926;3.385;6;1.052;20;20;316;0;84,81 %;6.311;3.956;62,68 %;3.895;45;47;1.507;2.341;1,19 %;1,14 %;38,09 %;59,18 %;99,60 %;-16
23;NARIÑO;44;EL PEÑOL;EL PEÑOL;7.459;80,59 %;-2.315;FALSE;FALSE;121;62;20;2.989;3.022;7;859;20;20;301;0;80,59 %;6.011;4.697;78,14 %;4.635;53;58;3.446;1.131;1,23 %;1,13 %;73,37 %;24,08 %;99,81 %;-9
23;NARIÑO;64;IMUES;IMUES;7.461;91,56 %;-2.110;FALSE;FALSE;86;87;25;3.448;3.383;10;683;25;25;273;0;91,56 %;6.831;4.922;72,05 %;4.888;26;52;3.473;1.363;1,06 %;0,53 %;70,56 %;27,69 %;99,84 %;-8
23;NARIÑO;78;LA TOLA;LA TOLA;7.477;78,77 %;-2.597;FALSE;FALSE;459;16;19;2.827;3.063;6;982;19;19;310;0;78,77 %;5.890;3.040;51,61 %;3.026;8;27;2.798;201;0,89 %;0,26 %;92,04 %;6,61 %;99,80 %;-6
7;BOYACA;121;JENESANO;JENESANO;7.483;86,45 %;1.770;TRUE;FALSE;59;127;19;3.155;3.314;1;6.469;19;19;340;0;86,45 %;6.469;4.495;69,49 %;4.458;30;42;1.323;3.093;0,93 %;0,67 %;29,43 %;68,81 %;99,84 %;-7
5;BOLIVAR;63;REGIDOR;REGIDOR;7.486;75,66 %;-277;FALSE;FALSE;396;19;20;2.602;3.062;6;944;20;20;283;0;75,66 %;5.664;3.033;53,55 %;3.021;7;20;1.639;1.362;0,66 %;0,23 %;54,04 %;44,91 %;99,84 %;-5
25;NORTE DE SAN;46;HERRAN;HERRAN;7.499;68,13 %;1.880;TRUE;TRUE;112;67;16;2.404;2.705;3;1.703;16;16;319;0;68,13 %;5.109;2.082;40,75 %;2.075;2;23;86;1.966;1,10 %;0,10 %;4,13 %;94,43 %;99,76 %;-5
54;GUAVIARE;12;MIRAFLORES;MIRAFLORES;7.502;48,87 %;-681;FALSE;FALSE;12.914;1;15;1.120;2.546;7;524;15;15;244;0;48,87 %;3.666;1.377;37,56 %;1.358;14;19;1.010;329;1,38 %;1,02 %;73,35 %;23,89 %;99,64 %;-5
1;ANTIOQUIA;34;ANZA;ANZA;7.508;89,09 %;2.255;TRUE;TRUE;256;29;20;3.110;3.579;3;2.230;20;20;334;0;89,09 %;6.689;3.516;52,56 %;3.482;17;63;582;2.837;1,79 %;0,48 %;16,55 %;80,69 %;99,52 %;-17
15;CUNDINAMARCA;124;GUATAVITA;GUATAVITA;7.512;75,40 %;1.804;TRUE;FALSE;247;30;16;2.757;2.907;1;5.664;16;16;354;0;75,40 %;5.664;4.423;78,09 %;4.370;46;96;1.235;3.039;2,17 %;1,04 %;27,92 %;68,71 %;99,84 %;-7
19;HUILA;43;HOBO;HOBO;7.564;84,62 %;1.000;TRUE;FALSE;217;35;20;3.186;3.215;2;3.201;20;20;320;0;84,62 %;6.401;4.272;66,74 %;4.214;49;78;1.568;2.568;1,83 %;1,15 %;36,70 %;60,11 %;99,79 %;-9
52;META;27;EL CASTILLO;EL CASTILLO;7.583;83,59 %;-7;FALSE;FALSE;693;11;20;2.926;3.413;4;1.585;20;20;317;0;83,59 %;6.339;3.907;61,63 %;3.858;46;77;1.894;1.887;1,97 %;1,18 %;48,48 %;48,30 %;99,92 %;-3
